DATETIME,TIME,Leaf_Area_Index_Dimensionless,Incoming_Solar_Radiation_Watts_perSqMtr
01/01/2001,0,0.326037,90.6748
01/02/2001,1,0.326292,129.973
01/03/2001,2,0.423177,163.176
01/04/2001,3,1.51756,203.807
01/05/2001,4,4.57665,230.211
01/06/2001,5,3.94171,262.945
01/07/2001,6,1.94158,259.781
01/08/2001,7,2.87079,226.9
01/09/2001,8,2.9799,199.108
01/10/2001,9,1.6191,173.28
01/11/2001,10,0.666122,116.875
01/12/2001,11,0.417985,88.2694
01/01/2002,12,0.7796,91.7775
01/02/2002,13,0.755403,143.883
01/03/2002,14,0.403356,154.217
01/04/2002,15,1.32915,210.911
01/05/2002,16,3.41253,262.319
01/06/2002,17,3.49207,270.053
01/07/2002,18,3.03456,241.992
01/08/2002,19,0.858756,227.213
01/09/2002,20,2.05942,190.093
01/10/2002,21,1.96357,103.257
01/11/2002,22,1.96457,86.6343
01/12/2002,23,1.19,80.2908
01/01/2003,24,0.413365,88.4126
01/02/2003,25,0.310188,93.9202
01/03/2003,26,0.382213,155.045
01/04/2003,27,1.23327,187.634
01/05/2003,28,1.15989,158.268
01/06/2003,29,1.75628,219.955
01/07/2003,30,2.84814,235.908
01/08/2003,31,2.19355,208.988
01/09/2003,32,1.59472,172.954
01/10/2003,33,1.34468,143.735
01/11/2003,34,0.88532,101.647
01/12/2003,35,0.386252,89.0641
01/01/2004,36,0.311043,91.0946
01/02/2004,37,0.305944,136.9
01/03/2004,38,0.421933,160.554
01/04/2004,39,2.76261,194.223
01/05/2004,40,3.36851,243.032
01/06/2004,41,2.96,233.441
01/07/2004,42,2.55416,224.838
01/08/2004,43,2.24154,212.365
01/09/2004,44,1.60339,161.413
01/10/2004,45,1.70667,129.45
01/11/2004,46,0.847635,98.5278
01/12/2004,47,0.770349,85.9527
01/01/2005,48,0.442228,81.2674
01/02/2005,49,0.325816,121.56
01/03/2005,50,0.388406,147.18
01/04/2005,51,0.792059,206.765
01/05/2005,52,3.66896,227.037
01/06/2005,53,2.66415,257.627
01/07/2005,54,1.04759,233.427
01/08/2005,55,2.58427,218.546
01/09/2005,56,1.76496,208.557
01/10/2005,57,1.55545,121.626
01/11/2005,58,1.30367,106.04
01/12/2005,59,0.280087,83.8494
01/01/2006,60,0.453408,84.9616
01/02/2006,61,0.34678,132.432
01/03/2006,62,0.426458,188.826
01/04/2006,63,0.939588,215.316
01/05/2006,64,3.45166,241.784
01/06/2006,65,3.70235,240.247
01/07/2006,66,2.46956,249.639
01/08/2006,67,2.29387,236.976
01/09/2006,68,1.69681,155.711
01/10/2006,69,1.54075,139.785
01/11/2006,70,0.631446,93.6721
01/12/2006,71,0.712238,89.0951
01/01/2007,72,0.327579,86.8277
01/02/2007,73,0.364599,130.759
01/03/2007,74,0.39049,179.709
01/04/2007,75,0.854453,187.691
01/05/2007,76,3.34232,257.481
01/06/2007,77,3.28,251.529
01/07/2007,78,3.2154,247.051
01/08/2007,79,3.22497,215.614
01/09/2007,80,2.09985,216.971
01/10/2007,81,1.8257,145.886
01/11/2007,82,0.583789,102.578
01/12/2007,83,0.756635,63.0781
01/01/2008,84,0.3774,96.7733
01/02/2008,85,0.454465,109.863
01/03/2008,86,0.541328,175.157
01/04/2008,87,0.833207,183.453
01/05/2008,88,3.16633,234.747
01/06/2008,89,3.51871,285.175
01/07/2008,90,2.70134,255.242
01/08/2008,91,2.42863,228.404
01/09/2008,92,1.78371,177.719
01/10/2008,93,1.48542,154.39
01/11/2008,94,0.444862,90.0723
01/12/2008,95,0.45,71.312
01/01/2009,96,0.453485,92.6414
01/02/2009,97,0.446752,142.475
01/03/2009,98,0.364276,150.168
01/04/2009,99,1.16016,192.712
01/05/2009,100,3.68342,210.731
01/06/2009,101,3.80394,235.308
01/07/2009,102,3.57245,242.472
01/08/2009,103,0.725688,218.243
01/09/2009,104,1.21,173.318
01/10/2009,105,1.69308,123.57
01/11/2009,106,1.1111,85.8114
01/12/2009,107,0.394177,80.1722
01/01/2010,108,0.445037,98.3486
01/02/2010,109,0.43,120.522
01/03/2010,110,0.415827,160.432
01/04/2010,111,2.26855,240.343
01/05/2010,112,3.42446,231.886
01/06/2010,113,3.60535,270.554
01/07/2010,114,3.80194,269.251
01/08/2010,115,2.21148,215.378
01/09/2010,116,2.20554,203.819
01/10/2010,117,1.37335,146.176
01/11/2010,118,1.74395,111.792
01/12/2010,119,0.372359,85.1257
01/01/2011,120,0.365112,83.4848
01/02/2011,121,0.423919,128.246
01/03/2011,122,0.402948,157.867
01/04/2011,123,0.868525,182.658
01/05/2011,124,5.00819,229.258
01/06/2011,125,3.55269,260.977
01/07/2011,126,2.50841,272.519
01/08/2011,127,2.41151,221.647
01/09/2011,128,1.97,141.575
01/10/2011,129,1.46517,129.987
01/11/2011,130,1.23502,102.949
01/12/2011,131,0.649449,81.5792
01/01/2012,132,0.653516,94.0966
01/02/2012,133,0.612101,134.037
01/03/2012,134,0.77,174.803
01/04/2012,135,0.986185,219.289
01/05/2012,136,3.44764,240.064
01/06/2012,137,1.8877,273.14
01/07/2012,138,3.15185,247.656
01/08/2012,139,1.78645,225.255
01/09/2012,140,1.46053,194.711
01/10/2012,141,1.66072,123.564
01/11/2012,142,0.646844,108.76
01/12/2012,143,0.478333,72.7754
01/01/2013,144,0.502968,83.1395
01/02/2013,145,0.49674,113.634
01/03/2013,146,0.379959,155.001
01/04/2013,147,1.10706,221.832
01/05/2013,148,3.93125,245.171
01/06/2013,149,3.55632,228.443
01/07/2013,150,2.61669,240.717
01/08/2013,151,1.83957,203.451
01/09/2013,152,1.73302,211.654
01/10/2013,153,1.55229,125.598
01/11/2013,154,0.743612,102.941
01/12/2013,155,0.612529,72.4226
01/01/2014,156,0.532777,103.299
01/02/2014,157,0.359735,124.478
01/03/2014,158,0.452798,148.434
01/04/2014,159,0.686256,209.154
01/05/2014,160,3.44047,242.617
01/06/2014,161,1.42324,276.383
01/07/2014,162,3.85442,258.55
01/08/2014,163,2.46641,211.26
01/09/2014,164,0.91304,178.606
01/10/2014,165,1.37415,132.988
01/11/2014,166,0.581689,101.466
01/12/2014,167,0.51,68.5384
01/01/2015,168,0.410337,84.0665
01/02/2015,169,0.335,129.335
01/03/2015,170,0.253192,157.866
01/04/2015,171,1.41359,213.933
01/05/2015,172,3.0988,265.913
01/06/2015,173,3.72348,234.914
01/07/2015,174,2.48501,235.155
01/08/2015,175,1.96254,236.865
01/09/2015,176,1.51964,182.217
01/10/2015,177,1.43199,139.293
01/11/2015,178,0.692107,100.122
01/12/2015,179,0.591033,68.2789
01/01/2016,180,0.655337,99.5183
01/02/2016,181,0.387686,116.224
01/03/2016,182,0.77774,165.814
01/04/2016,183,0.790512,217
01/05/2016,184,2.78708,188.308
01/06/2016,185,3.13616,271.895
01/07/2016,186,2.49424,261.937
01/08/2016,187,2.17546,243.347
01/09/2016,188,1.9216,167.018
01/10/2016,189,1.39082,149.301
01/11/2016,190,0.685802,111.753
01/12/2016,191,0.584623,79.0054
01/01/2017,192,0.381842,69.9229
01/02/2017,193,0.461834,127.221
01/03/2017,194,0.526003,179.332
01/04/2017,195,0.680609,204.966
01/05/2017,196,2.46468,212.339
01/06/2017,197,2.85906,275.37
01/07/2017,198,2.07778,248.847
01/08/2017,199,1.85101,226.329
01/09/2017,200,1.52551,192.468
01/10/2017,201,1.4502,148.78
01/11/2017,202,1.42146,104.104
01/12/2017,203,0.550709,78.3151
01/01/2018,204,0.404523,98.0989
01/02/2018,205,0.440959,93.6754
01/03/2018,206,0.909609,163.497
01/04/2018,207,0.641046,203.066
01/05/2018,208,1.35817,227.603
01/06/2018,209,2.30425,242.353
01/07/2018,210,2.10652,250.197
01/08/2018,211,1.74705,230.423
01/09/2018,212,1.82562,141.271
01/10/2018,213,1.32966,136.979
01/11/2018,214,0.84173,91.4397
01/12/2018,215,0.797051,73.7404
01/01/2019,216,0.475007,79.7154
01/02/2019,217,0.455533,112.557
01/03/2019,218,0.348347,172.884
01/04/2019,219,1.67022,206.191
01/05/2019,220,2.68069,242.546
01/06/2019,221,2.65969,269.521
01/07/2019,222,2.14034,275.468
01/08/2019,223,1.84035,231.642
01/09/2019,224,1.30561,195.251
01/10/2019,225,1.38259,132.634
01/11/2019,226,1.96003,106.068
01/12/2019,227,0.321008,75.1824
01/01/2020,228,0.877595,86.6105
01/02/2020,229,1.22116,113.659
01/03/2020,230,0.415669,149.828
01/04/2020,231,1.28525,192.889
01/05/2020,232,1.99014,220.386